u_issue,u_reporter,u_author,u_state,u_nfiles,u_total,u_nadd,u_ndel,d_issue,d_reporter,d_author,d_state,d_nfiles,d_total,d_nadd,d_ndel,ref_author
pydata/pandas#11790,jdeschenes,jdeschenes,closed,3,88,85,3,dask/dask#860,drdangersimon,,closed,,,,,jreback
pydata/pandas#11790,jdeschenes,jdeschenes,closed,3,88,85,3,dask/dask#888,sscondie,,closed,,,,,mrocklin
pydata/pandas#11790,jdeschenes,jdeschenes,closed,3,88,85,3,dask/dask#954,user32000,,closed,,,,,TomAugspurger
pydata/pandas#12089,JackKelly,jreback,closed,5,51,45,6,nilmtk/nilmtk#471,jhyun0919,,closed,,,,,JackKelly
pydata/pandas#2733,bmu,jreback,closed,4,349,209,140,luca-dex/pyTSA#18,luca-dex,luca-dex,closed,4,98,86,12,luca-dex
pydata/pandas#3593,eike-welk,jreback,closed,7,133,119,14,eike-welk/clair#43,eike-welk,eike-welk,closed,2,56,12,44,eike-welk
pydata/pandas#5637,jikamens,,closed,,,,,quantopian/zipline#243,jikamens,,open,,,,,jikamens
pydata/pandas#5652,janschulz,jreback,closed,4,14,13,1,yhat/ggplot#118,ericchiang,glamp,closed,21,202,155,47,JanSchulz
pydata/pandas#5862,JackKelly,jreback,closed,3,34,32,2,nilmtk/nilmtk#83,JackKelly,,closed,,,,,JackKelly
pydata/pandas#5928,twiecki,jreback,closed,3,25,22,3,hddm-devs/hddm#35,mwaskom,twiecki,closed,4,10,4,6,twiecki
